0,45,98,33,80,48,39,6,31,84,83,65,76,63,72,65,12,63,67,73
29,0,26,14,22,86,6,47,46,91,58,9,25,17,73,81,88,3,72,38
41,99,0,8,99,51,63,64,34,1,82,55,53,57,87,11,59,33,49,82
2,70,68,0,55,8,69,62,60,90,74,28,23,66,45,65,82,11,77,41
61,53,43,1,0,29,61,41,52,94,36,34,83,78,46,65,66,61,71,4
-1,27,100,88,69,0,96,81,87,98,47,10,19,81,88,94,1,26,38,56
62,18,62,30,78,46,0,78,17,58,55,2,87,21,13,46,10,82,97,3
57,11,67,60,4,15,69,0,91,68,52,5,25,28,78,26,49,46,51,98
46,69,38,69,48,2,43,50,0,34,15,2,64,34,82,94,78,92,71,32
10,32,59,69,1,59,17,76,63,0,70,86,9,24,95,43,38,15,9,68
63,86,78,32,8,39,64,32,73,52,0,95,8,70,64,87,97,7,45,10
75,33,52,99,85,36,35,57,68,83,97,0,81,60,55,64,23,70,96,68
7,13,27,33,11,67,59,-1,44,23,17,38,0,32,56,74,64,22,49,49
42,87,1,66,30,89,90,75,87,39,5,73,2,0,36,20,60,24,9,77
77,13,63,42,3,51,80,29,82,86,98,72,92,6,0,89,88,18,56,13
37,47,94,87,9,96,83,81,30,41,8,16,34,19,1,0,61,12,8,80
77,53,41,70,26,34,63,93,31,3,86,30,22,87,75,94,0,33,90,69
42,84,99,25,98,38,86,83,10,11,40,43,90,95,26,86,28,0,7,47
69,30,73,95,4,30,8,34,32,51,11,20,54,74,16,6,2,100,0,62
58,41,33,73,59,57,1,8,70,96,22,14,7,27,79,97,70,68,8,0
