0,67,33,23,61,20,35,97,41,87,74,58,12,44,97,25,71,72,50,21,48,10,19,95,16,59,94,65,53,68,87,3,51
71,0,61,65,80,15,-1,32,77,6,65,23,82,16,38,8,45,18,63,48,61,31,24,53,98,66,76,46,73,90,100,62,84
49,40,0,64,22,41,1,29,83,63,60,27,48,24,56,82,55,63,54,8,82,94,4,46,52,4,26,51,23,80,16,77,65
51,76,-1,0,92,63,25,75,2,17,74,47,48,42,69,15,31,24,92,29,28,28,18,6,48,75,-1,35,94,2,93,41,44
52,80,5,46,0,93,48,46,19,35,59,95,56,28,38,52,86,33,47,75,34,15,40,26,12,16,1,70,65,16,79,76,52
39,29,18,82,76,0,85,48,11,3,1,63,15,41,67,78,55,92,29,88,23,38,13,55,19,67,-1,13,75,70,58,48,88
84,49,42,7,8,6,0,32,25,82,82,26,60,30,-1,39,57,70,81,93,36,58,25,55,43,75,85,9,54,28,54,95,19
56,57,78,79,43,44,6,0,44,9,71,94,29,51,13,52,21,7,82,48,88,40,3,82,52,48,9,79,92,79,78,87,6
65,7,90,-1,57,40,96,22,0,86,18,55,63,36,92,79,72,83,60,53,81,53,21,72,96,73,33,36,37,55,35,33,23
88,90,8,91,43,9,24,81,75,0,81,37,48,79,68,40,45,60,78,85,39,1,78,97,35,65,39,65,27,9,66,80,38
17,85,100,1,73,36,33,89,83,35,0,92,88,19,13,73,69,58,78,99,56,81,72,52,70,49,58,39,49,59,91,85,72
56,64,12,1,77,48,52,17,14,9,61,0,62,76,56,57,86,92,65,78,62,46,88,84,67,65,11,14,14,94,46,19,87
3,96,30,49,66,57,96,31,-1,65,13,80,0,86,70,45,19,61,9,9,56,31,52,37,32,93,1,84,3,25,25,61,22
59,22,74,18,67,78,22,19,97,57,65,27,4,0,23,36,16,77,86,46,18,30,64,41,81,65,36,62,21,25,34,87,34
90,82,32,17,28,34,37,40,30,75,87,63,7,75,0,99,61,22,93,24,11,71,48,1,25,44,45,58,67,59,7,87,68
48,45,42,71,15,38,74,43,95,1,12,79,2,51,3,0,39,59,33,14,5,30,73,52,30,1,5,62,96,79,66,13,41
52,90,66,3,72,44,9,81,99,55,88,40,48,7,68,98,0,7,89,82,72,45,79,86,58,94,76,86,54,88,27,32,94
79,17,56,77,44,20,94,52,75,44,5,87,90,100,94,26,13,0,90,57,87,17,31,83,35,88,18,35,4,47,100,96,91
43,17,36,24,28,61,9,28,41,15,84,34,80,96,58,21,48,47,0,65,12,65,99,8,30,23,17,97,43,87,13,75,79
16,77,65,67,10,62,22,46,11,5,65,85,4,36,77,81,96,63,55,0,1,56,4,61,64,62,6,37,38,5,15,9,29
51,70,48,76,24,47,44,93,86,1,96,91,54,17,46,50,8,30,67,97,0,90,58,67,51,37,12,59,92,85,10,30,95
2,8,6,91,38,97,46,57,29,99,91,73,65,64,43,32,24,36,68,56,15,0,67,41,78,38,84,46,65,49,73,93,96
17,85,52,89,80,3,56,63,23,68,46,90,55,100,35,65,77,89,16,86,29,11,0,24,65,49,29,60,22,86,90,32,91
1,51,75,91,70,20,4,16,29,46,49,56,55,20,5,70,97,2,37,48,18,85,6,0,90,9,26,59,76,5,7,80,50
29,25,62,91,19,24,50,48,81,61,11,78,33,78,50,80,60,27,5,42,29,80,33,36,0,31,12,23,94,76,98,98,83
56,76,8,73,87,52,85,57,7,91,82,77,4,52,69,22,35,47,20,39,76,74,67,31,35,0,47,12,94,59,34,7,19
97,17,74,67,78,9,26,36,94,91,2,77,17,23,4,91,47,39,18,41,-1,3,12,8,40,39,0,80,40,17,60,46,18
88,90,13,21,89,2,84,79,66,67,25,38,84,85,31,49,92,75,14,70,68,1,50,1,7,78,2,0,54,94,77,66,6
38,36,2,16,66,65,91,82,90,46,97,35,59,14,23,100,90,100,48,90,2,46,3,92,93,43,95,63,0,93,11,6,58
82,66,71,90,100,32,74,44,42,18,10,43,80,77,99,67,88,13,66,59,6,99,67,31,41,19,7,82,7,0,51,23,6
20,50,99,41,74,79,86,72,16,95,16,30,86,21,50,57,88,46,23,49,89,5,81,41,2,59,15,41,66,92,0,44,7
15,97,31,16,19,9,10,10,84,80,13,23,20,54,27,34,77,69,70,34,58,15,-1,20,73,61,84,65,58,92,39,0,11
63,35,22,7,57,14,17,59,88,70,82,53,4,37,80,10,95,40,35,38,17,2,85,9,86,18,5,33,64,78,86,80,0
